tree_id,point_count,crown_x,crown_y,height_max_m,height_mean_m,height_std_m,height_p25_m,height_p50_m,height_p75_m,height_p90_m,height_p95_m,cv_height,crown_radius_m,crown_r95_m,crown_area_m2,canopy_pts,density_pt_m2,tile,tile_tree_id
117,5573,188769.8967,479994.0386,18.517,11.581,4.275,9.116,12.378,15.113,16.521,17.019,0.3691,7.127,13.984,614.332,1583,9.0716,1,117
118,4103,188224.939,479996.3733,17.107,11.725,3.686,9.323,13.191,14.496,15.182,15.427,0.3144,6.22,13.52,574.236,1640,7.1451,1,118
119,2414,188274.7821,479993.902,17.584,10.686,3.926,7.342,11.548,13.821,15.415,15.895,0.3674,5.233,8.762,241.178,555,10.0092,1,119
120,1011,188638.6333,479995.8342,19.565,13.037,4.56,9.566,14.268,16.987,18.554,18.951,0.3497,2.681,4.491,63.368,392,15.9544,1,120
121,1246,188891.1538,479994.5185,21.609,15.055,5.046,12.015,16.873,18.931,19.889,20.546,0.3352,3.504,5.922,110.166,536,11.3102,1,121
122,3909,188817.2179,479996.9039,18.974,11.42,3.918,8.146,11.985,14.622,16.606,17.343,0.3431,5.682,10.849,369.751,810,10.572,1,122
123,557,188964.7503,479993.834,18.5,12.853,4.197,10.691,13.848,16.021,17.109,17.549,0.3265,2.29,4.851,73.931,251,7.5341,1,123
124,3706,188074.9771,479994.5282,24.175,14.828,6.483,10.158,15.085,20.641,22.998,23.632,0.4372,3.773,7.526,177.921,1185,20.8295,1,124
125,3485,188392.119,479991.7388,15.627,10.453,2.75,8.908,10.688,12.448,14.015,14.636,0.263,5.229,8.579,231.206,849,15.0732,1,125
126,4496,188208.0184,479996.5822,19.248,12.58,4.044,10.0,14.061,15.623,16.514,17.072,0.3215,7.011,12.481,489.39,1239,9.1869,1,126
127,2016,188688.0964,479992.9853,18.063,11.347,4.943,6.784,13.173,15.579,16.843,17.136,0.4356,3.56,6.762,143.664,723,14.0327,1,127
128,4731,188126.8141,479993.8364,16.119,10.857,2.399,9.83,11.033,12.477,13.576,14.169,0.221,5.076,10.709,360.272,886,13.1317,1,128
129,4053,188584.5379,479989.4675,21.393,15.346,5.01,12.95,16.848,19.129,20.258,20.583,0.3265,5.528,9.565,287.451,1903,14.0998,1,129
130,1341,188289.2993,479992.5679,17.719,11.802,4.16,8.363,13.377,15.439,16.251,16.515,0.3525,3.78,7.177,161.799,568,8.2881,1,130
131,2487,188553.0533,479989.2639,16.835,11.419,3.852,8.5,12.73,14.544,15.508,15.9,0.3374,4.075,6.567,135.498,947,18.3546,1,131
132,2415,188804.5921,479991.2352,20.625,12.63,4.088,9.72,12.974,15.786,17.87,18.992,0.3237,4.687,8.536,228.881,442,10.5513,1,132
133,4984,188038.474,479995.5999,25.405,14.083,5.753,10.566,13.477,18.31,23.426,24.084,0.4085,6.878,10.269,331.28,929,15.0447,1,133
134,1154,188901.5385,479991.6653,22.078,15.134,5.199,11.072,16.718,19.085,20.592,21.243,0.3436,3.343,6.517,133.42,477,8.6494,1,134
